SONG_ID,SONG_TITLE,ST_ID,PRIORITY,ST_TAG_ID,TYPE_ID,TAG_NAME,CDATE
2466,오늘도 난,467710,2,5711,2,편안해요,2022-03-17 14:48:33
5112,끝 (End),456206,17,5766,12,신남,2022-03-31 14:31:33
7712,당신은 모르실거야 (CF - LIG 핑클편),488851,11,5322,2,화나요,2021-06-08 12:07:54
9270,매직 카펫 라이드,363115,13,5330,2,행복해요,2021-06-08 12:07:54
9302,Deep In The Night,489238,9,5322,2,화나요,2021-06-08 12:07:54
9944,언감생심,456055,9,5330,2,행복해요,2021-06-08 12:07:54
10124,Passion,456206,13,5766,12,신남,2022-03-31 14:31:33
10291,날 닮은 너,488851,10,5322,2,화나요,2021-06-08 12:07:54
14234,가을의 전설,455995,5,5759,12,슬픔,2022-03-31 14:31:33
19807,벌써 일년,466884,162,5711,2,편안해요,2022-03-17 14:48:33
26822,한 (Come A Come),488851,12,5322,2,화나요,2021-06-08 12:07:54
27236,맥주와 땅콩,363115,6,5330,2,행복해요,2021-06-08 12:07:54
27598,Reason,456030,12,5759,12,슬픔,2022-03-31 14:31:33
32616,3!4!,488851,13,5322,2,화나요,2021-06-08 12:07:54
33089,여름이야기 (Sky Mix),488851,14,5322,2,화나요,2021-06-08 12:07:54
33133,DOC와 춤을,488851,15,5322,2,화나요,2021-06-08 12:07:54
33732,동반자,467710,5,5711,2,편안해요,2022-03-17 14:48:33
38548,혼자한 사랑,488851,16,5322,2,화나요,2021-06-08 12:07:54
47405,너무 늦었잖아요,455319,9,5711,2,편안해요,2022-03-17 14:48:33
47837,슬퍼지려 하기전에,363115,11,5330,2,행복해요,2021-06-08 12:07:54
48655,사랑했어요,455995,11,5759,12,슬픔,2022-03-31 14:31:33
49829,잊혀진 계절,455319,2,5711,2,편안해요,2022-03-17 14:48:33
51158,님그림자,455319,1,5711,2,편안해요,2022-03-17 14:48:33
53954,재회,488851,3,5322,2,화나요,2021-06-08 12:07:54
57211,내가 널 닮아갈 때,455319,11,5711,2,편안해요,2022-03-17 14:48:33
61581,그리움으로 지는 너,488851,17,5322,2,화나요,2021-06-08 12:07:54
62346,게임,455284,1,5711,2,편안해요,2022-03-17 14:48:33
62458,아름다운 이별,456422,16,5711,2,편안해요,2022-03-17 14:48:33
66240,날개 잃은 천사,488851,18,5322,2,화나요,2021-06-08 12:07:54
66310,어제와 다른 오늘,488851,19,5322,2,화나요,2021-06-08 12:07:54
66328,진실 게임,488851,8,5322,2,화나요,2021-06-08 12:07:54
66337,진실 게임,455284,6,5330,2,행복해요,2021-06-08 12:07:54
66362,이별 공식,489034,19,5322,2,화나요,2021-06-08 12:07:54
66363,상심,489238,10,5322,2,화나요,2021-06-08 12:07:54
66964,작은 기다림,456422,9,5711,2,편안해요,2022-03-17 14:48:33
70148,애송이의 사랑,456375,7,5759,12,슬픔,2022-03-31 14:31:33
70696,취중진담(醉中眞談),454777,7,5330,2,행복해요,2021-06-08 12:07:54
71766,운명,489034,18,5322,2,화나요,2021-06-08 12:07:54
73338,현명한 선택,489034,17,5322,2,화나요,2021-06-08 12:07:54
73520,체인징 게임,455284,7,5330,2,행복해요,2021-06-08 12:07:54
76321,할 수 있어,489238,11,5322,2,화나요,2021-06-08 12:07:54
77694,애상,489238,13,5322,2,화나요,2021-06-08 12:07:54
79367,Take Two,456055,2,5330,2,행복해요,2021-06-08 12:07:54
79369,Take Three,456055,3,5330,2,행복해요,2021-06-08 12:07:54
79370,Take Four,456055,4,5330,2,행복해요,2021-06-08 12:07:54
82070,Love Affair,489238,12,5322,2,화나요,2021-06-08 12:07:54
83190,만남,489238,14,5322,2,화나요,2021-06-08 12:07:54
83371,적(敵),456198,19,5759,12,슬픔,2022-03-31 14:31:33
85257,바꿔,489238,15,5322,2,화나요,2021-06-08 12:07:54
85258,와,489238,16,5322,2,화나요,2021-06-08 12:07:54
91310,순정 (純情),489238,18,5322,2,화나요,2021-06-08 12:07:54
91320,실연,489238,17,5322,2,화나요,2021-06-08 12:07:54
105014,제주도 푸른밤,363115,3,5330,2,행복해요,2021-06-08 12:07:54
105699,송인,456030,11,5759,12,슬픔,2022-03-31 14:31:33
111208,사랑한다는 말,467710,6,5711,2,편안해요,2022-03-17 14:48:33
111209,다시 사랑한다 말할까,455052,7,5711,2,편안해요,2022-03-17 14:48:33
111216,망각,467710,7,5711,2,편안해요,2022-03-17 14:48:33
191093,No.1,489238,19,5322,2,화나요,2021-06-08 12:07:54
313559,우린 제법 잘 어울려요,466884,15,5711,2,편안해요,2022-03-17 14:48:33
315876,One Love,466884,115,5711,2,편안해요,2022-03-17 14:48:33
387725,I Don't Want To Miss A Thing,456422,8,5711,2,편안해요,2022-03-17 14:48:33
418168,희재,489238,1,5322,2,화나요,2021-06-08 12:07:54
421409,점점,466884,169,5711,2,편안해요,2022-03-17 14:48:33
421755,너에게,467710,11,5711,2,편안해요,2022-03-17 14:48:33
429657,그대만을,466884,113,5711,2,편안해요,2022-03-17 14:48:33
445413,사랑합니다...,466884,104,5711,2,편안해요,2022-03-17 14:48:33
449151,바램,455052,8,5711,2,편안해요,2022-03-17 14:48:33
450190,우연,456206,12,5766,12,신남,2022-03-31 14:31:33
454476,하늘을 달리다,363115,12,5330,2,행복해요,2021-06-08 12:07:54
460396,소주 한 잔,466884,25,5711,2,편안해요,2022-03-17 14:48:33
496573,사진을 보다가,466884,95,5711,2,편안해요,2022-03-17 14:48:33
500797,미워도 다시 한번 (Original Ver.),456375,6,5759,12,슬픔,2022-03-31 14:31:33
